country	duration	num	minutes	mean	diff	time	diff_string	diff_rank
China	00:19:50	37	19.833333333333332	12.205	0.6250170695070325	19:50	63%	1
Volanca	00:11:19	179	11.316666666666666	29.611666666666668	-0.6178308099285192	11:19	-62%	2
Russia	00:32:55	147	32.916666666666664	20.893333333333334	0.5754626675175492	32:55	58%	3
Sovonthak	00:15:08	167	15.133333333333333	27.95333333333333	-0.4586215120438826	15:08	-46%	4
Israel	00:20:37	83	20.616666666666667	14.338333333333333	0.4378705102871092	20:37	44%	5
Mexico	00:18:21	116	18.35	13.011666666666667	0.41027283207378007	18:21	41%	6
Qitzikwaka	00:13:48	152	13.8	22.169999999999998	-0.37753721244925564	13:48	-38%	7
France	00:16:51	62	16.85	12.288333333333332	0.3712193137121933	16:51	37%	8
India	00:19:11	78	19.183333333333334	14.45	0.3275663206459054	19:11	33%	9
South Korea	00:17:50	93	17.833333333333332	13.506666666666666	0.320335636722606	17:50	32%	10
Patch Amberdash	00:11:43	129	11.716666666666667	16.181666666666665	-0.27592954990215257	11:43	-28%	11
Germany	00:15:21	66	15.35	12.193333333333333	0.2588846364133406	15:21	26%	12
Egypt	00:12:07	53	12.116666666666667	9.885000000000002	0.2257629404822119	12:07	23%	13
North Korea	00:16:11	92	16.183333333333334	13.303333333333333	0.2164870959659233	16:11	22%	14
South Africa	00:33:13	166	33.21666666666667	27.498333333333335	0.20795199709073287	33:13	21%	15
Ivory Coast	00:11:09	85	11.15	14.073333333333334	-0.20772145902415917	11:09	-21%	16
Cape Verde	00:09:42	33	9.7	12.205	-0.20524375256042615	9:42	-21%	17
Saudi Arabia	00:29:02	156	29.033333333333335	24.268333333333334	0.19634640477989151	29:02	20%	18
The Gambia	00:09:59	64	9.983333333333333	12.398333333333333	-0.19478424519424664	9:59	-19%	19
Greece	00:13:47	68	13.783333333333333	11.566666666666666	0.1916426512968299	13:47	19%	20
Barbados	00:08:34	16	8.566666666666666	10.540000000000001	-0.18722327640733727	8:34	-19%	21
Jamaica	00:11:27	86	11.45	14.083333333333334	-0.1869822485207101	11:27	-19%	22
Gabon	00:10:15	63	10.25	12.456666666666667	-0.17714744447417718	10:15	-18%	23
Grenada	00:09:39	69	9.65	11.716666666666667	-0.17638691322901845	9:39	-18%	24
Jordan	00:11:27	88	11.45	13.775	-0.16878402903811263	11:27	-17%	25
Chad	00:10:24	35	10.4	12.43	-0.16331456154464996	10:24	-16%	26
Japan	00:16:20	87	16.333333333333332	14.053333333333333	0.1622390891840606	16:20	16%	27
Netherlands	00:18:27	128	18.45	15.878333333333334	0.16196074315104436	18:27	16%	28
Antigua And Barbuda	00:07:17	6	7.283333333333333	8.686666666666667	-0.16155026861089805	7:17	-16%	29
Estonia	00:09:27	57	9.45	11.23	-0.15850400712377566	9:27	-16%	30
Spain	00:33:18	168	33.3	28.78666666666667	0.15678554886521523	33:18	16%	31
San Marino	00:19:50	154	19.833333333333332	23.346666666666668	-0.15048543689320393	19:50	-15%	32
Honduras	00:10:41	75	10.683333333333334	12.486666666666668	-0.14442071542979185	10:41	-14%	33
Argentina	00:10:18	7	10.3	9.006666666666668	0.14359733530717977	10:18	14%	34
Mauritania	00:11:03	114	11.05	12.896666666666667	-0.14318945463944166	11:03	-14%	35
Lebanon	00:13:29	98	13.483333333333333	11.806666666666667	0.1420101637492941	13:29	14%	36
Thailand	00:33:28	178	33.46666666666667	29.365	0.13967875588852952	33:28	14%	37
Bandiaterra	00:08:45	13	8.75	10.16	-0.1387795275590551	8:45	-14%	38
Montenegro	00:12:02	121	12.033333333333333	13.893333333333334	-0.13387715930902122	12:02	-13%	39
Switzerland	00:33:02	174	33.03333333333333	29.195	0.13147228406690625	33:02	13%	40
Cuba	00:08:36	44	8.6	9.883333333333335	-0.12984822934232731	8:36	-13%	41
Kyrgyzstan	00:11:33	95	11.55	13.236666666666668	-0.12742382271468145	11:33	-13%	42
Senegal	00:28:26	157	28.433333333333334	25.225	0.127188635612818	28:26	13%	43
Palau	00:15:44	137	15.733333333333333	18.02	-0.1268960414354421	15:44	-13%	44
Czech Republic	00:08:07	46	8.116666666666667	9.295	-0.1267706652322036	8:07	-13%	45
Nigeria	00:18:41	133	18.683333333333334	16.595	0.12584111680224974	18:41	13%	46
Ghana	00:12:53	67	12.883333333333333	11.511666666666667	0.11915448096134362	12:53	12%	47
Panama	00:15:59	138	15.983333333333333	18.068333333333335	-0.11539525873996881	15:59	-12%	48
Malawi	00:10:35	107	10.583333333333334	11.948333333333334	-0.11424187473845726	10:35	-11%	49
Norway	00:19:12	134	19.2	17.244999999999997	0.11336619309944918	19:12	11%	50
Iceland	00:11:57	77	11.95	13.468333333333334	-0.11273357257765138	11:57	-11%	51
Malta	00:11:25	112	11.416666666666666	12.855	-0.11188901854012712	11:25	-11%	52
Equatorial Guinea	00:09:07	55	9.116666666666667	10.246666666666666	-0.11027976577748855	9:07	-11%	53
Central African Republic	00:10:56	34	10.933333333333334	12.258333333333333	-0.10808973487423512	10:56	-11%	54
Limberwisk	00:10:24	103	10.4	11.656666666666666	-0.10780669144981403	10:24	-11%	55
Suriname	00:27:55	172	27.916666666666668	31.130000000000003	-0.10322304315237185	27:55	-10%	56
Mozambique	00:13:22	123	13.366666666666667	14.871666666666666	-0.1011991482685195	13:22	-10%	57
Myanmar	00:16:10	124	16.166666666666668	14.686666666666667	0.1007716749886518	16:10	10%	58
Guinea Bissau	00:10:02	72	10.033333333333333	11.143333333333334	-0.09961112772958436	10:02	-10%	59
Qatar	00:18:59	145	18.983333333333334	21.07333333333333	-0.09917747548244216	18:59	-10%	60
Malaysia	00:13:19	108	13.316666666666666	12.121666666666666	0.09858380310738357	13:19	10%	61
Micronesia (Federated States)	00:12:06	117	12.1	13.4	-0.09701492537313439	12:06	-10%	62
Ehiopia	00:12:06	58	12.1	11.043333333333333	0.09568367038937509	12:06	10%	63
Guinea	00:10:10	71	10.166666666666666	11.236666666666668	-0.09522396914862075	10:10	-10%	64
Sierra Leone	00:24:04	160	24.066666666666666	26.57166666666667	-0.09427334880511828	24:04	-9%	65
Togo	00:32:28	180	32.46666666666667	29.695	0.09333782342706409	32:28	9%	66
Serbia	00:27:48	158	27.8	25.443333333333335	0.09262413205816844	27:48	9%	67
Latvia	00:11:24	97	11.4	12.55	-0.0916334661354582	11:24	-9%	68
Hungary	00:11:39	76	11.65	12.823333333333334	-0.09149987002859372	11:39	-9%	69
Ireland	00:16:29	82	16.483333333333334	15.111666666666668	0.09076872173817141	16:29	9%	70
