country	duration
afghanistan	6:42
albania	7:28
algeria	7:39
andorra	6:42
angola	8:07
antigua and barbuda	7:17
argentina	10:18
armenia	9:22
australia	10:15
austria	10:05
azerbaijan	9:39
the bahamas	10:40
bandiaterra	8:45
bahrain	10:48
bangladesh	10:36
barbados	8:34
belarus	11:15
belgium	10:59
belize	11:16
benin	11:11
bhutan	11:20
bolivia	11:32
bosnia and herzegovina	11:19
botswana	11:12
brazil	12:19
brunei	11:24
bulgaria	11:30
burkina faso	11:32
burundi	10:50
cambodia	11:16
cameroon	11:30
canada	12:58
cape verde	9:42
central african republic	10:56
chad	10:24
chile	11:40
china	19:50
colombia	12:57
comoros	11:22
congo (democratic republic)	12:59
congo (republic)	11:38
costa rica	10:35
croatia	10:24
cuba	8:36
cyprus	9:04
czech republic	8:07
denmark	9:28
djibouti	8:56
dominica	9:03
dominican republic	9:16
east timor	9:28
ecuador	9:18
egypt	12:07
el salvador	9:22
equatorial guinea	9:07
eritrea	9:37
estonia	9:27
ehiopia	12:06
fiji	10:14
finland	11:42
republic of north macedonia	11:45
france	16:51
gabon	10:15
the gambia	9:59
georgia	11:47
germany	15:21
ghana	12:53
greece	13:47
grenada	9:39
guatemala	11:14
guinea	10:10
guinea bissau	10:02
guyana	10:48
haiti	11:29
honduras	10:41
hungary	11:39
iceland	11:57
india	19:11
indonesia	14:53
iran	14:02
iraq	13:32
ireland	16:29
israel	20:37
italy	13:27
ivory coast	11:09
jamaica	11:27
japan	16:20
jordan	11:27
kazakhstan	12:52
kenya	13:24
kiribati	13:38
north korea	16:11
south korea	17:50
kuwait	12:10
kyrgyzstan	11:33
laos	12:33
latvia	11:24
lebanon	13:29
lesotho	11:35
liberia	11:59
libya	10:42
liechtenstein	12:15
limberwisk	10:24
lithuania	12:25
luxembourg	11:42
madagascar	11:38
malawi	10:35
malaysia	13:19
eswatini	12:30
maldives	11:49
mali	13:42
malta	11:25
marshall islands	12:08
mauritania	11:03
mauritius	12:10
mexico	18:21
micronesia (federated states)	12:06
moldova	12:40
monaco	13:34
mongolia	14:38
montenegro	12:02
morocco	15:18
mozambique	13:22
myanmar	16:10
namibia	15:06
nauru	14:00
nepal	16:06
netherlands	18:27
patch amberdash	11:43
new zealand (aotearoa)	17:26
nicaragua	15:46
niger	15:22
nigeria	18:41
norway	19:12
oman	16:54
pakistan	19:10
palau	15:44
panama	15:59
papua new guinea	18:13
paraguay	18:08
peru	18:29
philippines	19:42
poland	19:10
portugal	19:45
qatar	18:59
romania	19:38
russia	32:55
rwanda	21:00
st. kitts and nevis	20:43
st. lucia	20:23
st. vincent and the grenadines	22:35
qitzikwaka	13:48
samoa	23:20
san marino	19:50
sao tome and principe	22:35
saudi arabia	29:02
senegal	28:26
serbia	27:48
seychelles	25:41
sierra leone	24:04
singapore	28:07
slovakia	23:22
slovenia	25:31
solomon islands	26:39
somalia	27:03
south africa	33:13
sovonthak	15:08
spain	33:18
sri lanka	30:50
sudan	29:11
south sudan	30:44
suriname	27:55
sweden	33:51
switzerland	33:02
syria	31:06
tajikistan	29:06
tanzania	32:15
thailand	33:28
volanca	11:19
togo	32:28
tonga	28:24
trinidad and tobago	31:13
tunisia	31:18
turkey	35:30
turkminestan	31:56
tuvalu	33:08
